depth,params_M,mcc,mcc_lo,mcc_hi,auc,auc_lo,auc_hi,acc,C,cv_mcc,mcc_raw,auc_raw
15,158.256533,0.8600191117481717,0.7988701512681691,0.9138320257938,0.9818222222222222,0.9685225076302546,0.99290254299177,0.93,10.0,0.887438831850449,0.8866863710271847,0.9884
16,168.751509,0.8666666666666667,0.8063166122680158,0.9200534230998995,0.9849777777777777,0.9729622502220202,0.9939998550095713,0.9333333333333333,1.0,0.8945344684633436,0.8800782326533972,0.9871555555555556
17,179.246485,0.8733527413876783,0.8132063034556043,0.9268204181709726,0.9856,0.9731050199020883,0.9947528833258563,0.9366666666666666,1.0,0.8894821254864427,0.8666666666666667,0.9861777777777777
18,189.741461,0.88,0.8202584390648974,0.9331813746734797,0.9811111111111112,0.9677248249578044,0.9921642440610994,0.94,10.0,0.8878728058307509,0.88,0.9827999999999999
19,200.236437,0.8934127513299639,0.8396471312040461,0.946607341490545,0.9806666666666667,0.9664829302987199,0.9926658262860204,0.9466666666666667,10.0,0.889383890619507,0.9000200006666913,0.9839111111111111
20,210.731413,0.8934127513299639,0.840326992152973,0.9402011960776762,0.9814222222222222,0.9674036901212966,0.9926792552481765,0.9466666666666667,10.0,0.8881804577975968,0.9069892090698496,0.9817777777777777
21,221.226389,0.8733527413876783,0.8131246877785208,0.9259967413949048,0.9815555555555555,0.9684378260535683,0.9919047125965151,0.9366666666666666,1.0,0.882835244215215,0.8866863710271847,0.9823111111111111
22,231.721365,0.9000200006666913,0.8475800695977279,0.9467284787124622,0.9792888888888889,0.9647853346758712,0.9904726005195035,0.95,1.0,0.8892340206272312,0.8866863710271847,0.9795111111111111
23,242.216341,0.8669749792579444,0.8069079807519234,0.9208955004103013,0.9785333333333333,0.9620703055108247,0.9910443713471083,0.9333333333333333,10.0,0.8893837623078211,0.8936511324658812,0.9806222222222222
24,252.711317,0.8669749792579444,0.8066850301398623,0.9201744599350546,0.9763555555555554,0.9591069348024445,0.9898672377178891,0.9333333333333333,1.0,0.8892189786986193,0.8738189232142417,0.9768
25,263.206293,0.8738189232142417,0.814337648354709,0.926846135006392,0.9760888888888889,0.9586163572716934,0.9897647478980239,0.9366666666666666,1.0,0.9070280314414662,0.8673608331108886,0.9801777777777777
26,273.701269,0.8735080524174728,0.8135764947354955,0.9264532775496093,0.9812888888888889,0.9648096899268997,0.9932812892243539,0.9366666666666666,10.0,0.8977182641250957,0.8871596701335431,0.9831555555555556
27,284.196245,0.8406728074767075,0.7779682281584908,0.9001536119178776,0.9750666666666667,0.956398062136095,0.989251369564049,0.92,0.1,0.8975524529872493,0.8667437139768306,0.9783555555555555
28,294.691221,0.8742858523600265,0.8151285849989025,0.9266970506126087,0.9752444444444444,0.9563467053488062,0.9897746418432691,0.9366666666666666,0.1,0.8956004480217956,0.8812542318853867,0.9749333333333333
29,305.186197,0.853409195300264,0.7886261296511755,0.9134450375948506,0.9805777777777778,0.9631014653748355,0.9928193280320939,0.9266666666666666,1.0,0.8907036588557007,0.8738189232142417,0.9808444444444444
30,315.681173,0.860172051617206,0.7961723291587204,0.9211985536845291,0.9806666666666666,0.9634245341097705,0.9932024258898472,0.93,1.0,0.8990296686723915,0.8807048459279793,0.9817333333333333
31,326.176149,0.8623218132994909,0.7990960461337263,0.9199438733383062,0.9810222222222222,0.9651042725126596,0.9927109263869133,0.93,0.1,0.8974456419212904,0.8882669888351209,0.9806666666666667
32,336.671125,0.8278448844983936,0.7612284355081876,0.8877663266497129,0.9731555555555556,0.9573860760693701,0.9858969843601938,0.9133333333333333,0.1,0.8972321921103431,0.8400746766236974,0.9759555555555555
